"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"1400000US48167723501","Census Tract 7235.01, Galveston County, Texas","1151","131"
"1400000US48439102601","Census Tract 1026.01, Tarrant County, Texas","4020","615"
"1400000US48439104504","Census Tract 1045.04, Tarrant County, Texas","3082","390"
"1400000US48201333201","Census Tract 3332.01, Harris County, Texas","5004","410"
"1400000US48453001811","Census Tract 18.11, Travis County, Texas","3535","534"
"1400000US48441011000","Census Tract 110, Taylor County, Texas","1046","210"
"1400000US48201233701","Census Tract 2337.01, Harris County, Texas","5700","339"
"1400000US48029150400","Census Tract 1504, Bexar County, Texas","4417","631"
"1400000US48029191811","Census Tract 1918.11, Bexar County, Texas","4452","330"
"1400000US48323950602","Census Tract 9506.02, Maverick County, Texas","4893","612"
"1400000US48325000500","Census Tract 5, Medina County, Texas","5438","533"
"1400000US48099010400","Census Tract 104, Coryell County, Texas","4569","464"
"1400000US48453002003","Census Tract 20.03, Travis County, Texas","4221","494"
"1400000US48201253500","Census Tract 2535, Harris County, Texas","9964","947"
"1400000US48039660200","Census Tract 6602, Brazoria County, Texas","6678","470"
"1400000US48439101700","Census Tract 1017, Tarrant County, Texas","2745","479"
"1400000US48439110805","Census Tract 1108.05, Tarrant County, Texas","6359","504"
"1400000US48085031806","Census Tract 318.06, Collin County, Texas","1994","263"
"1400000US48113004700","Census Tract 47, Dallas County, Texas","3326","438"
"1400000US48121021611","Census Tract 216.11, Denton County, Texas","4551","278"
"1400000US48325000300","Census Tract 3, Medina County, Texas","8283","747"
"1400000US48021950100","Census Tract 9501, Bastrop County, Texas","8177","1004"
"1400000US48259970302","Census Tract 9703.02, Kendall County, Texas","3982","365"
"1400000US48113015305","Census Tract 153.05, Dallas County, Texas","4655","444"
"1400000US48451001600","Census Tract 16, Tom Green County, Texas","4889","460"
"1400000US48415950300","Census Tract 9503, Scurry County, Texas","5986","400"
"1400000US48029171200","Census Tract 1712, Bexar County, Texas","4089","578"
"1400000US48481740700","Census Tract 7407, Wharton County, Texas","1645","318"
"1400000US48141001202","Census Tract 12.02, El Paso County, Texas","5160","364"
"1400000US48281950400","Census Tract 9504, Lampasas County, Texas","4270","427"
"1400000US48299970300","Census Tract 9703, Llano County, Texas","1839","213"
"1400000US48141000301","Census Tract 3.01, El Paso County, Texas","6501","931"
"1400000US48453002310","Census Tract 23.10, Travis County, Texas","3147","524"
"1400000US48479001401","Census Tract 14.01, Webb County, Texas","3754","526"
"1400000US48439110302","Census Tract 1103.02, Tarrant County, Texas","4884","411"
"1400000US48371950100","Census Tract 9501, Pecos County, Texas","2198","268"
"1400000US48323950700","Census Tract 9507, Maverick County, Texas","10260","945"
"1400000US48029150700","Census Tract 1507, Bexar County, Texas","7060","962"
"1400000US48355006100","Census Tract 61, Nueces County, Texas","3427","177"
"1400000US48029181721","Census Tract 1817.21, Bexar County, Texas","3887","327"
"1400000US48113018110","Census Tract 181.10, Dallas County, Texas","4907","299"
"1400000US48113019212","Census Tract 192.12, Dallas County, Texas","4354","443"
"1400000US48121021728","Census Tract 217.28, Denton County, Texas","3509","290"
"1400000US48141002500","Census Tract 25, El Paso County, Texas","5104","538"
"1400000US48339691400","Census Tract 6914, Montgomery County, Texas","9176","844"
"1400000US48201542600","Census Tract 5426, Harris County, Texas","5773","298"
"1400000US48041000300","Census Tract 3, Brazos County, Texas","6525","550"
"1400000US48113012206","Census Tract 122.06, Dallas County, Texas","5270","455"
"1400000US48029181817","Census Tract 1818.17, Bexar County, Texas","3664","337"
"1400000US48439113815","Census Tract 1138.15, Tarrant County, Texas","6421","314"
"1400000US48439113302","Census Tract 1133.02, Tarrant County, Texas","4753","320"
"1400000US48029171301","Census Tract 1713.01, Bexar County, Texas","2787","297"
"1400000US48141004309","Census Tract 43.09, El Paso County, Texas","5352","502"
"1400000US48441012200","Census Tract 122, Taylor County, Texas","2680","314"
